Dose [cGy],Volume [%]
0,100
1,99.812325
2,99.62465
3,99.436975
4,99.2493
5,99.061625
6,98.87395
7,98.686275
8,98.4986
9,98.310925
10,98.12325
11,97.935575
12,97.7479
13,97.560225
14,97.37255
15,97.184875
16,96.9972
17,96.809525
18,96.62185
19,96.434175
20,96.2465
21,96.072575
22,95.89865
23,95.724725
24,95.5508
25,95.376875
26,95.20295
27,95.029025
28,94.8551
29,94.681175
30,94.50725
31,94.333325
32,94.1594
33,93.985475
34,93.81155
35,93.637625
36,93.4637
37,93.289775
38,93.11585
39,92.941925
40,92.768
41,92.6436
42,92.5192
43,92.3948
44,92.2704
45,92.146
46,92.0216
47,91.8972
48,91.7728
49,91.6484
50,91.524
51,91.3996
52,91.2752
53,91.1508
54,91.0264
55,90.902
56,90.7776
57,90.6532
58,90.5288
59,90.4044
60,90.28
61,90.1474
62,90.0148
63,89.8822
64,89.7496
65,89.617
66,89.4844
67,89.3518
68,89.2192
69,89.0866
70,88.954
71,88.8214
72,88.6888
73,88.5562
74,88.4236
75,88.291
76,88.1584
77,88.0258
78,87.8932
79,87.7606
80,87.628
81,87.516875
82,87.40575
83,87.294625
84,87.1835
85,87.072375
86,86.96125
87,86.850125
88,86.739
89,86.627875
90,86.51675
91,86.405625
92,86.2945
93,86.183375
94,86.07225
95,85.961125
96,85.85
97,85.738875
98,85.62775
99,85.516625
100,85.4055
101,85.30845
102,85.2114
103,85.11435
104,85.0173
105,84.92025
106,84.8232
107,84.72615
108,84.6291
109,84.53205
110,84.435
111,84.33795
112,84.2409
113,84.14385
114,84.0468
115,83.94975
116,83.8527
117,83.75565
118,83.6586
119,83.56155
120,83.4645
121,83.382825
122,83.30115
123,83.219475
124,83.1378
125,83.056125
126,82.97445
127,82.892775
128,82.8111
129,82.729425
130,82.64775
131,82.566075
132,82.4844
133,82.402725
134,82.32105
135,82.239375
136,82.1577
137,82.076025
138,81.99435
139,81.912675
140,81.831
141,81.762425
142,81.69385
143,81.625275
144,81.5567
145,81.488125
146,81.41955
147,81.350975
148,81.2824
149,81.213825
150,81.14525
151,81.076675
152,81.0081
153,80.939525
154,80.87095
155,80.802375
156,80.7338
157,80.665225
158,80.59665
159,80.528075
160,80.4595
161,80.401025
162,80.34255
163,80.284075
164,80.2256
165,80.167125
166,80.10865
167,80.050175
168,79.9917
169,79.933225
170,79.87475
171,79.816275
172,79.7578
173,79.699325
174,79.64085
175,79.582375
176,79.5239
177,79.465425
178,79.40695
179,79.348475
180,79.29
181,79.230325
182,79.17065
183,79.110975
184,79.0513
185,78.991625
186,78.93195
187,78.872275
188,78.8126
189,78.752925
190,78.69325
191,78.633575
192,78.5739
193,78.514225
194,78.45455
195,78.394875
196,78.3352
197,78.275525
198,78.21585
199,78.156175
200,78.0965
201,78.049075
202,78.00165
203,77.954225
204,77.9068
205,77.859375
206,77.81195
207,77.764525
208,77.7171
209,77.669675
210,77.62225
211,77.574825
212,77.5274
213,77.479975
214,77.43255
215,77.385125
216,77.3377
217,77.290275
218,77.24285
219,77.195425
220,77.148
221,77.102575
222,77.05715
223,77.011725
224,76.9663
225,76.920875
226,76.87545
227,76.830025
228,76.7846
229,76.739175
230,76.69375
231,76.648325
232,76.6029
233,76.557475
234,76.51205
235,76.466625
236,76.4212
237,76.375775
238,76.33035
239,76.284925
240,76.2395
241,76.1908
242,76.1421
243,76.0934
244,76.0447
245,75.996
246,75.9473
247,75.8986
248,75.8499
249,75.8012
250,75.7525
251,75.7038
252,75.6551
253,75.6064
254,75.5577
255,75.509
256,75.4603
257,75.4116
258,75.3629
259,75.3142
260,75.2655
261,75.222425
262,75.17935
263,75.136275
264,75.0932
265,75.050125
266,75.00705
267,74.963975
268,74.9209
269,74.877825
270,74.83475
271,74.791675
272,74.7486
273,74.705525
274,74.66245
275,74.619375
276,74.5763
277,74.533225
278,74.49015
279,74.447075
280,74.404
281,74.355775
282,74.30755
283,74.259325
284,74.2111
285,74.162875
286,74.11465
287,74.066425
288,74.0182
289,73.969975
290,73.92175
291,73.873525
292,73.8253
293,73.777075
294,73.72885
295,73.680625
296,73.6324
297,73.584175
298,73.53595
299,73.487725
300,73.4395
301,73.40375
302,73.368
303,73.33225
304,73.2965
305,73.26075
306,73.225
307,73.18925
308,73.1535
309,73.11775
310,73.082
311,73.04625
312,73.0105
313,72.97475
314,72.939
315,72.90325
316,72.8675
317,72.83175
318,72.796
319,72.76025
320,72.7245
321,72.6907
322,72.6569
323,72.6231
324,72.5893
325,72.5555
326,72.5217
327,72.4879
328,72.4541
329,72.4203
330,72.3865
331,72.3527
332,72.3189
333,72.2851
334,72.2513
335,72.2175
336,72.1837
337,72.1499
338,72.1161
339,72.0823
340,72.0485
341,72.01085
342,71.9732
343,71.93555
344,71.8979
345,71.86025
346,71.8226
347,71.78495
348,71.7473
349,71.70965
350,71.672
351,71.63435
352,71.5967
353,71.55905
354,71.5214
355,71.48375
356,71.4461
357,71.40845
358,71.3708
359,71.33315
360,71.2955
361,71.263625
362,71.23175
363,71.199875
364,71.168
365,71.136125
366,71.10425
367,71.072375
368,71.0405
369,71.008625
370,70.97675
371,70.944875
372,70.913
373,70.881125
374,70.84925
375,70.817375
376,70.7855
377,70.753625
378,70.72175
379,70.689875
380,70.658
381,70.62865
382,70.5993
383,70.56995
384,70.5406
385,70.51125
386,70.4819
387,70.45255
388,70.4232
389,70.39385
390,70.3645
391,70.33515
392,70.3058
393,70.27645
394,70.2471
395,70.21775
396,70.1884
397,70.15905
398,70.1297
399,70.10035
400,70.071
401,70.0348
402,69.9986
403,69.9624
404,69.9262
405,69.89
406,69.8538
407,69.8176
408,69.7814
409,69.7452
410,69.709
411,69.6728
412,69.6366
413,69.6004
414,69.5642
415,69.528
416,69.4918
417,69.4556
418,69.4194
419,69.3832
420,69.347
421,69.317775
422,69.28855
423,69.259325
424,69.2301
425,69.200875
426,69.17165
427,69.142425
428,69.1132
429,69.083975
430,69.05475
431,69.025525
432,68.9963
433,68.967075
434,68.93785
435,68.908625
436,68.8794
437,68.850175
438,68.82095
439,68.791725
440,68.7625
441,68.734025
442,68.70555
443,68.677075
444,68.6486
445,68.620125
446,68.59165
447,68.563175
448,68.5347
449,68.506225
450,68.47775
451,68.449275
452,68.4208
453,68.392325
460,68.193
470,67.941
480,67.689
490,67.38325
500,67.0775
510,66.8005
520,66.5235
530,66.213
540,65.9025
550,65.6225
560,65.3425
570,65.14375
