Dose [cGy];Volume [%]
0.0;100.0
1.0;99.812325
2.0;99.62465
3.0;99.436975
4.0;99.2493
5.0;99.06162499999999
6.0;98.87395000000001
7.0;98.686275
8.0;98.49860000000001
9.0;98.310925
10.0;98.12325
11.0;97.935575
12.0;97.74789999999999
13.0;97.560225
14.0;97.37254999999999
15.0;97.184875
16.0;96.99719999999999
17.0;96.809525
18.0;96.62185
19.0;96.434175
20.0;96.2465
21.0;96.072575
22.0;95.89865
23.0;95.724725
24.0;95.5508
25.0;95.376875
26.0;95.20295
27.0;95.02902499999999
28.0;94.8551
29.0;94.681175
30.0;94.50725
31.0;94.333325
32.0;94.1594
33.0;93.98547500000001
34.0;93.81155000000001
35.0;93.637625
36.0;93.4637
37.0;93.28977499999999
38.0;93.11585
39.0;92.941925
40.0;92.768
41.0;92.64359999999999
42.0;92.5192
43.0;92.3948
44.0;92.2704
45.0;92.146
46.0;92.0216
47.0;91.8972
48.0;91.7728
49.0;91.64840000000001
50.0;91.524
51.0;91.39959999999999
52.0;91.27519999999998
53.0;91.1508
54.0;91.0264
55.0;90.90199999999999
56.0;90.77759999999999
57.0;90.6532
58.0;90.52879999999999
59.0;90.4044
60.0;90.28
61.0;90.1474
62.0;90.0148
63.0;89.8822
64.0;89.74959999999999
65.0;89.61699999999999
66.0;89.4844
67.0;89.3518
68.0;89.2192
69.0;89.0866
70.0;88.95400000000001
71.0;88.8214
72.0;88.68879999999999
73.0;88.55619999999999
74.0;88.4236
75.0;88.291
76.0;88.1584
77.0;88.0258
78.0;87.89320000000001
79.0;87.7606
80.0;87.628
81.0;87.516875
82.0;87.40575000000001
83.0;87.294625
84.0;87.18350000000001
85.0;87.072375
86.0;86.96125
87.0;86.850125
88.0;86.739
89.0;86.627875
90.0;86.51675
91.0;86.405625
92.0;86.2945
93.0;86.183375
94.0;86.07225
95.0;85.96112500000001
96.0;85.85
97.0;85.73887500000001
98.0;85.62774999999999
99.0;85.516625
100.0;85.4055
101.0;85.30845
102.0;85.2114
103.0;85.11435
104.0;85.0173
105.0;84.92025000000001
106.0;84.8232
107.0;84.72615
108.0;84.6291
109.0;84.53205
110.0;84.435
111.0;84.33795
112.0;84.24090000000001
113.0;84.14385
114.0;84.04679999999999
115.0;83.94975
116.0;83.8527
117.0;83.75565
118.0;83.6586
119.0;83.56155000000001
120.0;83.4645
121.0;83.382825
122.0;83.30115
123.0;83.219475
124.0;83.1378
125.0;83.05612500000001
126.0;82.97444999999999
127.0;82.892775
128.0;82.8111
129.0;82.72942499999999
130.0;82.64775
131.0;82.56607500000001
132.0;82.48440000000001
133.0;82.402725
134.0;82.32105000000001
135.0;82.239375
136.0;82.1577
137.0;82.076025
138.0;81.99435
139.0;81.91267500000001
140.0;81.831
141.0;81.76242500000001
142.0;81.69385
143.0;81.625275
144.0;81.5567
145.0;81.488125
146.0;81.41955
147.0;81.350975
148.0;81.2824
149.0;81.213825
150.0;81.14525
151.0;81.076675
152.0;81.00810000000001
153.0;80.939525
154.0;80.87095
155.0;80.80237500000001
156.0;80.7338
157.0;80.66522499999999
158.0;80.59665
159.0;80.528075
160.0;80.45949999999999
161.0;80.401025
162.0;80.34255
163.0;80.284075
164.0;80.2256
165.0;80.167125
166.0;80.10865
167.0;80.050175
168.0;79.9917
169.0;79.933225
170.0;79.87475
171.0;79.81627499999999
172.0;79.7578
173.0;79.69932499999999
174.0;79.64085
175.0;79.582375
176.0;79.5239
177.0;79.46542500000001
178.0;79.40695
179.0;79.34847500000001
180.0;79.28999999999999
181.0;79.230325
182.0;79.17065
183.0;79.110975
184.0;79.0513
185.0;78.991625
186.0;78.93195
187.0;78.872275
188.0;78.8126
189.0;78.752925
190.0;78.69325
191.0;78.63357500000001
192.0;78.57390000000001
193.0;78.51422500000001
194.0;78.45455
195.0;78.394875
196.0;78.3352
197.0;78.275525
198.0;78.21585
199.0;78.15617499999999
200.0;78.09649999999999
201.0;78.04907499999999
202.0;78.00165
203.0;77.95422500000001
204.0;77.9068
205.0;77.859375
206.0;77.81195
207.0;77.76452499999999
208.0;77.71709999999999
209.0;77.669675
210.0;77.62225
211.0;77.574825
212.0;77.5274
213.0;77.479975
214.0;77.43254999999999
215.0;77.38512499999999
216.0;77.3377
217.0;77.290275
218.0;77.24284999999999
219.0;77.195425
220.0;77.148
221.0;77.102575
222.0;77.05715000000001
223.0;77.01172499999998
224.0;76.96629999999999
225.0;76.920875
226.0;76.87545
227.0;76.830025
228.0;76.7846
229.0;76.73917499999999
230.0;76.69375
231.0;76.648325
232.0;76.6029
233.0;76.557475
234.0;76.51204999999999
235.0;76.466625
236.0;76.4212
237.0;76.375775
238.0;76.33035
239.0;76.284925
240.0;76.23949999999999
241.0;76.1908
242.0;76.1421
243.0;76.0934
244.0;76.0447
245.0;75.996
246.0;75.9473
247.0;75.8986
248.0;75.8499
249.0;75.8012
250.0;75.7525
251.0;75.7038
252.0;75.6551
253.0;75.60640000000001
254.0;75.5577
255.0;75.509
256.0;75.46029999999999
257.0;75.4116
258.0;75.3629
259.0;75.3142
260.0;75.2655
261.0;75.222425
262.0;75.17935
263.0;75.136275
264.0;75.0932
265.0;75.05012500000001
266.0;75.00705
267.0;74.963975
268.0;74.9209
269.0;74.877825
270.0;74.83475
271.0;74.791675
272.0;74.7486
273.0;74.705525
274.0;74.66244999999999
275.0;74.61937499999999
276.0;74.5763
277.0;74.533225
278.0;74.49015
279.0;74.447075
280.0;74.404
281.0;74.355775
282.0;74.30755
283.0;74.259325
284.0;74.2111
285.0;74.162875
286.0;74.11465
287.0;74.06642500000001
288.0;74.01820000000001
289.0;73.969975
290.0;73.92175
291.0;73.873525
292.0;73.8253
293.0;73.777075
294.0;73.72885
295.0;73.680625
